"Geplande groep";"Geplande groep";"Geplande groep";"Geplande groep";"Geplande groep";"Geroosterde lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Weken (2026)";"Weken (2026)";"Weken (2026)";"Weken (2026)"
"Afdeling";"Pakketgroep";"Vak";"Lesgroep";"Sectie";"Totaal aantal geroosterde lessen";"Gegeven door geplande docent";"Gegeven door vervanger";"Gegeven zonder docent";"Totaal aantal gegeven lessen";"Percentage gegeven door vervanger";"Percentage gegeven zonder docent";"Uitval door te weinig leerlingen";"Uitval door te weinig docenten";"Uitval door gewijzigde planning";"Uitval zonder reden";"Totaal aantal uitgevallen lessen";"Percentage totaal aantal uitgevallen lessen";"35";"36";"37";"38"
"6v";"nee";"biol";"6v.biol2";"biol";"9";"6";"0";"0";"6";"0%";"0%";"0";"1";"2";"0";"3";"33,3%";"";"1";"2";"3"
"6v";"nee";"biol";"6v.biol3";"biol";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"2vp";"ja";"bip";"";"biol";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1vp";"ja";"bip";"";"biol";"3";"1";"0";"0";"1";"0%";"0%";"0";"0";"2";"0";"2";"66,7%";"";"0";"0";"1"
"1vp";"nee";"bip";"1vp.bip1";"biol";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2vp";"nee";"bip";"2vp.bip1";"biol";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1h";"nee";"bu";"1h.1ha";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"bu";"1v.1vb";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"bu";"1v.1vc";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"bu";"1v.1vd";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"bu";"1vh.1ba";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"bu";"1vh.1bb";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"bu";"1vh.1bc";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vp";"nee";"bu";"1vp.1va";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"bu";"2h.2ha";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"bu";"2h.2hb";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"bu";"2h.2hc";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"bu";"2h.2hd";"Algemeen";"6";"6";"0";"0";"6";"0%";"0%";"0";"0";"0";"0";"0";"0%";"";"2";"2";"2"
"2v";"nee";"bu";"2v.2vb";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"bu";"2v.2vc";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"bu";"2v.2vd";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"bu";"2v.2ve";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2vp";"nee";"bu";"2vp.2va";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"bu";"3h.3ha";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"bu";"3h.3hb";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"bu";"3h.3hc";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3v";"nee";"bu";"3v.3vc";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3v";"nee";"bu";"3v.3vd";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3v";"nee";"bu";"3v.3ve";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3vp";"nee";"bu";"3vp.3va";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3vp";"nee";"bu";"3vp.3vb";"Algemeen";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"4h";"nee";"ckv";"4h.ckv1";"ckv";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"4h";"nee";"ckv";"4h.ckv2";"ckv";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"0";"2";"2"
"4h";"nee";"ckv";"4h.ckv3";"ckv";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"4v";"nee";"ckv";"4v.ckv1";"ckv";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"4v";"nee";"ckv";"4v.ckv2";"ckv";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"4v";"nee";"ckv";"4v.ckv3";"ckv";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"0";"2";"2"
"4v";"nee";"ckv";"4v.ckv4";"ckv";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"ja";"du";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3v";"ja";"du";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2h";"ja";"du";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2vp";"ja";"du";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
